wgr_threshold,sustained_months,n_events,method,c_index,mae_events,median_error,max_error,skipped
5,3,12,Inv-MAE Weighted,0.802,101.0,72.7,388.4,False
5,3,12,Rank Fusion,0.783,87.3,73.8,209.1,False
5,4,12,Cox PH,0.788,137.6,74.5,791.0,False
5,4,12,Weibull AFT,0.741,204.9,83.7,871.0,False
5,4,12,XGB Cox,0.703,152.8,157.2,309.9,False
5,4,12,XGB AFT,0.642,117.5,127.8,261.0,False
5,4,12,sksurv GBSA,0.844,179.4,75.0,791.0,False
5,4,12,sksurv CWGB,0.764,155.7,93.9,721.9,False
5,4,12,Stacked,0.774,104.1,71.7,410.0,False
5,4,12,Simple Mean,0.792,111.2,83.2,432.5,False
5,4,12,Trimmed Mean,0.802,103.3,57.8,499.5,False
5,4,12,Median,0.802,125.1,68.8,721.9,False
5,4,12,Geometric Mean,0.783,83.5,62.0,234.4,False
5,4,12,Inv-MAE Weighted,0.802,101.0,72.7,388.4,False
5,4,12,Rank Fusion,0.783,87.3,73.8,209.1,False
5,6,12,Cox PH,0.792,134.1,66.5,727.0,False
5,6,12,Weibull AFT,0.759,191.1,79.2,795.6,False
5,6,12,XGB Cox,0.712,159.1,157.2,309.9,False
5,6,12,XGB AFT,0.642,123.6,126.2,326.1,False
5,6,12,sksurv GBSA,0.816,175.7,87.2,727.0,False
5,6,12,sksurv CWGB,0.774,147.8,82.6,657.4,False
5,6,12,Stacked,0.783,96.8,64.1,359.2,False
5,6,12,Simple Mean,0.802,104.0,84.6,370.2,False
5,6,12,Trimmed Mean,0.811,99.4,67.7,438.0,False
5,6,12,Median,0.783,118.9,71.6,657.4,False
5,6,12,Geometric Mean,0.792,78.6,57.2,171.1,False
5,6,12,Inv-MAE Weighted,0.802,97.2,83.0,343.4,False
5,6,12,Rank Fusion,0.792,80.3,65.8,209.5,False
