date,well,pressure,choke_size,prod_days,gas_produced,water_produced,porosity,permeability_md,skin,sw,net_pay_m,chlorides_ppm,top_perf_md,bottom_perf_md,perf_midpoint_md,bhp,gas_gravity
2008-06-01,75,678.7,,,156.085,135.619,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2008-07-01,75,665.1,,,162.648,355.452,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2008-08-01,75,683.9,,,153.992,400.5,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2008-09-01,75,667.4,,,164.38,549.643,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2008-10-01,75,659.7,,,171.323,618.429,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2008-11-01,75,654.1,,,169.199,886.333,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2008-12-01,75,650.2,,,173.716,1112.214,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2009-01-01,75,653.3,,,171.935,496.833,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2009-02-01,75,659.6,,,153.77,268.714,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2009-03-01,75,658.4,,,166.027,280.31,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2009-04-01,75,665.6,,,154.675,250.238,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2009-05-01,75,667.2,,,164.139,266.19,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2009-06-01,75,650.9,,,162.293,269.048,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2009-07-01,75,646.3,,,167.011,287.048,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2009-08-01,75,638.5,,,157.203,312.405,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2009-09-01,75,618.3,,,175.719,349.143,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2009-10-01,75,614.7,,,174.643,353.643,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2009-11-01,75,611.8,,,176.984,399.738,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2009-12-01,75,613.6,,,179.36,415.214,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2010-01-01,75,618.7,,,175.32,405.857,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,868.0,0.74
2010-02-01,75,616.5,,,158.808,409.667,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2010-03-01,75,611.0,,,178.213,464.762,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2010-04-01,75,680.5,,,169.457,514.024,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2010-05-01,75,615.3,,,174.351,484.071,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2010-06-01,75,618.7,,,170.801,501.857,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2010-07-01,75,608.1,,,178.625,606.929,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2010-08-01,75,606.1,,,152.506,496.786,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2010-09-01,75,602.2,,,167.063,570.833,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
2010-10-01,75,604.8,,,171.071,571.071,0.2,12.5,1.1,0.35,12.192148256522842,14000,716.2887100707144,728.4808583272372,722.3847841989758,,0.74
